case,source_platform,rating_1_5,text,stance,theme_codes,pulled_by,post_date,has_text,unnamed_9,post_date_norm,year,ym,rating_1_5_num
DAA,YandexMaps,5,Очень интересная площадка... дизайнерская мебель и декор... лаундж-пространство.,positive,design,Mariia,2021-08-01 00:00:00,yes,NA,2021-08-01,2021,2021-08,5
DAA,YandexMaps,5,Очень интересная площадка... дизайнерская мебель и декор... лаундж-пространство.,positive,commerce,Mariia,2021-08-01 00:00:00,yes,NA,2021-08-01,2021,2021-08,5
DAA,YandexMaps,5,Очень интересная площадка... дизайнерская мебель и декор... лаундж-пространство.,positive,public_space,Mariia,2021-08-01 00:00:00,yes,NA,2021-08-01,2021,2021-08,5
DAA,YandexMaps,5,"Отличное место, внутри очень атмосферно🥰 зимой когда ложится снег 🔥",positive,atmosphere,Mariia,2021-11-12 00:00:00,yes,NA,2021-11-12,2021,2021-11,5
DAA,YandexMaps,5,"Отличное место, внутри очень атмосферно🥰 зимой когда ложится снег 🔥",positive,seasonal,Mariia,2021-11-12 00:00:00,yes,NA,2021-11-12,2021,2021-11,5
DAA,YandexMaps,5,"Очень интересно, но ничего не понятно... двор восстановили, выставки идут, но чем живёт остальное — неясно.",mixed,events,Mariia,2021-11-13 00:00:00,yes,NA,2021-11-13,2021,2021-11,5
DAA,YandexMaps,5,"Очень интересно, но ничего не понятно... двор восстановили, выставки идут, но чем живёт остальное — неясно.",mixed,public_space,Mariia,2021-11-13 00:00:00,yes,NA,2021-11-13,2021,2021-11,5
DAA,YandexMaps,5,"Очень интересно, но ничего не понятно... двор восстановили, выставки идут, но чем живёт остальное — неясно.",mixed,wayfinding,Mariia,2021-11-13 00:00:00,yes,NA,2021-11-13,2021,2021-11,5
DAA,YandexMaps,5,"Очень интересно, но ничего не понятно... двор восстановили, выставки идут, но чем живёт остальное — неясно.",mixed,communication,Mariia,2021-11-13 00:00:00,yes,NA,2021-11-13,2021,2021-11,5
DAA,YandexMaps,5,Крутейшее место для ремонта,positive,commerce,Mariia,2021-11-21 00:00:00,yes,NA,2021-11-21,2021,2021-11,5
DAA,YandexMaps,5,Крутейшее место для ремонта,positive,renovation,Mariia,2021-11-21 00:00:00,yes,NA,2021-11-21,2021,2021-11,5
DAA,YandexMaps,5,Классное атмосферное место - настоящая агрегация модных дизайнерских пространств. Приятные кафе и рестораны на территории и площадка для массовых мероприятий типа Севкабель порт.,positive,atmosphere,Mariia,2021-11-23 00:00:00,yes,NA,2021-11-23,2021,2021-11,5
DAA,YandexMaps,5,Классное атмосферное место - настоящая агрегация модных дизайнерских пространств. Приятные кафе и рестораны на территории и площадка для массовых мероприятий типа Севкабель порт.,positive,design,Mariia,2021-11-23 00:00:00,yes,NA,2021-11-23,2021,2021-11,5
DAA,YandexMaps,5,Классное атмосферное место - настоящая агрегация модных дизайнерских пространств. Приятные кафе и рестораны на территории и площадка для массовых мероприятий типа Севкабель порт.,positive,commerce,Mariia,2021-11-23 00:00:00,yes,NA,2021-11-23,2021,2021-11,5
DAA,YandexMaps,5,Классное атмосферное место - настоящая агрегация модных дизайнерских пространств. Приятные кафе и рестораны на территории и площадка для массовых мероприятий типа Севкабель порт.,positive,events,Mariia,2021-11-23 00:00:00,yes,NA,2021-11-23,2021,2021-11,5
DAA,YandexMaps,5,Классное атмосферное место - настоящая агрегация модных дизайнерских пространств. Приятные кафе и рестораны на территории и площадка для массовых мероприятий типа Севкабель порт.,positive,food,Mariia,2021-11-23 00:00:00,yes,NA,2021-11-23,2021,2021-11,5
DAA,YandexMaps,4,"Огромная дизайнерская локация, но не оч удобно добираться, а в большом павильоне холодно",mixed,design,Mariia,2021-11-29 00:00:00,yes,NA,2021-11-29,2021,2021-11,4
DAA,YandexMaps,4,"Огромная дизайнерская локация, но не оч удобно добираться, а в большом павильоне холодно",mixed,infrastructure,Mariia,2021-11-29 00:00:00,yes,NA,2021-11-29,2021,2021-11,4
DAA,YandexMaps,4,"Огромная дизайнерская локация, но не оч удобно добираться, а в большом павильоне холодно",mixed,comfort,Mariia,2021-11-29 00:00:00,yes,NA,2021-11-29,2021,2021-11,4
DAA,YandexMaps,5,"Отличный шоурум, только проблема с парковкой.",mixed,commerce,Mariia,2021-12-03 00:00:00,yes,NA,2021-12-03,2021,2021-12,5
DAA,YandexMaps,5,"Отличный шоурум, только проблема с парковкой.",mixed,parking,Mariia,2021-12-03 00:00:00,yes,NA,2021-12-03,2021,2021-12,5
DAA,YandexMaps,5,Атмосферно!,positive,atmosphere,Mariia,2021-11-29 00:00:00,yes,NA,2021-11-29,2021,2021-11,5
DAA,YandexMaps,5,Хорошо,positive,neutral_general,Mariia,2021-12-09 00:00:00,yes,NA,2021-12-09,2021,2021-12,5
DAA,YandexMaps,5,Один из лучших интерьерных торговых центров. Есть все для ремонта и отделки!,positive,commerce,Mariia,2021-12-26 00:00:00,yes,NA,2021-12-26,2021,2021-12,5
